index,solo,grupo
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,1,0
14,1,1
15,1,2
16,1,3
17,1,4
18,1,5
19,1,6
20,1,7
21,1,8
22,1,9
23,1,10
24,1,11
25,2,0
26,2,1
27,2,2
28,2,3
29,2,4
30,2,5
31,2,6
32,2,7
33,2,8
34,2,9
35,2,10
36,3,0
37,3,1
38,3,2
39,3,3
40,3,4
41,3,5
42,3,6
43,3,7
44,3,8
45,3,9
46,4,0
47,4,1
48,4,2
49,4,3
50,4,4
51,4,5
52,4,6
53,4,7
54,4,8
55,5,0
56,5,1
57,5,2
58,5,3
59,5,4
60,5,5
61,5,6
62,5,7
63,6,0
64,6,1
65,6,2
66,6,3
67,6,4
68,6,5
69,6,6
70,7,0
71,7,1
72,7,2
73,7,3
74,7,4
75,7,5
76,8,0
77,8,1
78,8,2
79,8,3
80,8,4
81,9,0
82,9,1
83,9,2
84,9,3
85,10,0
86,10,1
87,10,2
88,11,0
89,11,1
90,12,0
