from_index,to_index,duration,censored,from_solo,from_grupo,to_solo,to_grupo
73,78,2,0,7,3,8,2
73,78,2,0,7,3,8,2
78,73,4,0,8,2,7,3
78,73,2,0,8,2,7,3
78,79,42,0,8,2,8,3
78,79,10,0,8,2,8,3
79,78,4,0,8,3,8,2
79,78,48,0,8,3,8,2
79,80,2,0,8,3,8,4
79,83,12,0,8,3,9,2
79,83,2,0,8,3,9,2
80,84,6,0,8,4,9,3
80,84,2,0,8,4,9,3
82,83,2,0,9,1,9,2
82,85,14,0,9,1,10,0
82,86,8,0,9,1,10,1
82,86,2,0,9,1,10,1
82,86,2,0,9,1,10,1
82,86,4,0,9,1,10,1
83,78,18,0,9,2,8,2
83,78,2,0,9,2,8,2
83,79,28,0,9,2,8,3
83,79,8,0,9,2,8,3
83,82,8,0,9,2,9,1
83,84,2,0,9,2,9,3
84,79,2,0,9,3,8,3
84,80,26,0,9,3,8,4
84,83,2,0,9,3,9,2
84,83,2,0,9,3,9,2
84,87,22,0,9,3,10,2
84,87,2,0,9,3,10,2
84,87,2,0,9,3,10,2
84,87,2,0,9,3,10,2
85,82,6,0,10,0,9,1
85,82,30,0,10,0,9,1
85,87,18,0,10,0,10,2
86,82,8,0,10,1,9,1
86,82,8,0,10,1,9,1
86,82,8,0,10,1,9,1
86,83,4,0,10,1,9,2
86,83,8,0,10,1,9,2
86,87,14,0,10,1,10,2
86,87,2,0,10,1,10,2
86,88,6,0,10,1,11,0
86,88,4,0,10,1,11,0
86,88,38,0,10,1,11,0
86,89,26,0,10,1,11,1
86,89,2,0,10,1,11,1
86,89,6,0,10,1,11,1
87,84,10,0,10,2,9,3
87,84,10,0,10,2,9,3
87,84,10,0,10,2,9,3
87,84,4,0,10,2,9,3
87,84,16,0,10,2,9,3
87,86,10,0,10,2,10,1
87,89,4,0,10,2,11,1
87,89,2,0,10,2,11,1
87,89,6,0,10,2,11,1
87,89,2,0,10,2,11,1
87,89,2,0,10,2,11,1
87,89,2,0,10,2,11,1
87,89,40,0,10,2,11,1
87,89,10,0,10,2,11,1
87,89,28,0,10,2,11,1
88,85,12,0,11,0,10,0
88,86,20,0,11,0,10,1
88,86,88,0,11,0,10,1
88,86,6,0,11,0,10,1
88,90,14,0,11,0,12,0
89,86,4,0,11,1,10,1
89,86,12,0,11,1,10,1
89,86,10,0,11,1,10,1
89,86,44,0,11,1,10,1
89,87,122,0,11,1,10,2
89,87,2,0,11,1,10,2
89,87,2,0,11,1,10,2
89,87,2,0,11,1,10,2
89,87,4,0,11,1,10,2
89,87,8,0,11,1,10,2
89,87,2,0,11,1,10,2
89,87,2,0,11,1,10,2
89,87,14,0,11,1,10,2
89,87,18,0,11,1,10,2
89,90,8,0,11,1,12,0
89,90,10,0,11,1,12,0
89,90,10,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,12,0,11,1,12,0
89,90,20,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
89,90,2,0,11,1,12,0
90,79,1,0,12,0,8,3
90,85,1,0,12,0,10,0
90,86,1,0,12,0,10,1
90,86,1,0,12,0,10,1
90,87,28,0,12,0,10,2
90,87,1,0,12,0,10,2
90,88,1,0,12,0,11,0
90,88,1,0,12,0,11,0
90,89,1,0,12,0,11,1
90,89,4,0,12,0,11,1
90,89,5,0,12,0,11,1
90,89,2,0,12,0,11,1
90,89,28,0,12,0,11,1
90,89,2,0,12,0,11,1
90,89,6,0,12,0,11,1
90,89,4,0,12,0,11,1
90,89,6,0,12,0,11,1
90,89,2,0,12,0,11,1
90,89,7,0,12,0,11,1
90,89,4,0,12,0,11,1
90,89,2,0,12,0,11,1
90,89,2,0,12,0,11,1
90,89,2,0,12,0,11,1
78,-1,2,1,8,2,-1,-1
78,-1,2,1,8,2,-1,-1
79,-1,4,1,8,3,-1,-1
83,-1,18,1,9,2,-1,-1
86,-1,30,1,10,1,-1,-1
87,-1,2,1,10,2,-1,-1
87,-1,86,1,10,2,-1,-1
87,-1,4,1,10,2,-1,-1
87,-1,24,1,10,2,-1,-1
90,-1,104,1,12,0,-1,-1
