from_index,to_index,duration,censored,from_solo,from_grupo,from_fermo,to_solo,to_grupo,to_fermo
0,1,1,0,12,0,0,11,1,0
0,1,4,0,12,0,0,11,1,0
0,1,5,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,1,28,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,1,6,0,12,0,0,11,1,0
0,1,4,0,12,0,0,11,1,0
0,1,6,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,1,7,0,12,0,0,11,1,0
0,1,4,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,1,2,0,12,0,0,11,1,0
0,2,28,0,12,0,0,10,2,0
0,2,1,0,12,0,0,10,2,0
0,13,1,0,12,0,0,11,0,1
0,13,1,0,12,0,0,11,0,1
0,14,1,0,12,0,0,10,1,1
0,14,1,0,12,0,0,10,1,1
0,16,1,0,12,0,0,8,3,1
0,25,1,0,12,0,0,10,0,2
1,0,8,0,11,1,0,12,0,0
1,0,10,0,11,1,0,12,0,0
1,0,10,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,12,0,11,1,0,12,0,0
1,0,20,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,0,2,0,11,1,0,12,0,0
1,2,122,0,11,1,0,10,2,0
1,2,2,0,11,1,0,10,2,0
1,2,2,0,11,1,0,10,2,0
1,2,2,0,11,1,0,10,2,0
1,2,4,0,11,1,0,10,2,0
1,2,8,0,11,1,0,10,2,0
1,2,2,0,11,1,0,10,2,0
1,2,2,0,11,1,0,10,2,0
1,2,14,0,11,1,0,10,2,0
1,2,18,0,11,1,0,10,2,0
1,14,4,0,11,1,0,10,1,1
1,14,12,0,11,1,0,10,1,1
1,14,10,0,11,1,0,10,1,1
1,14,44,0,11,1,0,10,1,1
2,1,4,0,10,2,0,11,1,0
2,1,2,0,10,2,0,11,1,0
2,1,6,0,10,2,0,11,1,0
2,1,2,0,10,2,0,11,1,0
2,1,2,0,10,2,0,11,1,0
2,1,2,0,10,2,0,11,1,0
2,1,40,0,10,2,0,11,1,0
2,1,10,0,10,2,0,11,1,0
2,1,28,0,10,2,0,11,1,0
2,3,10,0,10,2,0,9,3,0
2,3,10,0,10,2,0,9,3,0
2,3,10,0,10,2,0,9,3,0
2,3,4,0,10,2,0,9,3,0
2,3,16,0,10,2,0,9,3,0
2,14,10,0,10,2,0,10,1,1
3,2,22,0,9,3,0,10,2,0
3,2,2,0,9,3,0,10,2,0
3,2,2,0,9,3,0,10,2,0
3,2,2,0,9,3,0,10,2,0
3,4,26,0,9,3,0,8,4,0
3,15,2,0,9,3,0,9,2,1
3,15,2,0,9,3,0,9,2,1
3,16,2,0,9,3,0,8,3,1
4,3,6,0,8,4,0,9,3,0
4,3,2,0,8,4,0,9,3,0
13,0,14,0,11,0,1,12,0,0
13,14,20,0,11,0,1,10,1,1
13,14,88,0,11,0,1,10,1,1
13,14,6,0,11,0,1,10,1,1
13,25,12,0,11,0,1,10,0,2
14,1,26,0,10,1,1,11,1,0
14,1,2,0,10,1,1,11,1,0
14,1,6,0,10,1,1,11,1,0
14,2,14,0,10,1,1,10,2,0
14,2,2,0,10,1,1,10,2,0
14,13,6,0,10,1,1,11,0,1
14,13,4,0,10,1,1,11,0,1
14,13,38,0,10,1,1,11,0,1
14,15,4,0,10,1,1,9,2,1
14,15,8,0,10,1,1,9,2,1
14,26,8,0,10,1,1,9,1,2
14,26,8,0,10,1,1,9,1,2
14,26,8,0,10,1,1,9,1,2
15,3,2,0,9,2,1,9,3,0
15,16,28,0,9,2,1,8,3,1
15,16,8,0,9,2,1,8,3,1
15,26,8,0,9,2,1,9,1,2
15,27,18,0,9,2,1,8,2,2
15,27,2,0,9,2,1,8,2,2
16,4,2,0,8,3,1,8,4,0
16,15,12,0,8,3,1,9,2,1
16,15,2,0,8,3,1,9,2,1
16,27,4,0,8,3,1,8,2,2
16,27,48,0,8,3,1,8,2,2
25,2,18,0,10,0,2,10,2,0
25,26,6,0,10,0,2,9,1,2
25,26,30,0,10,0,2,9,1,2
26,14,8,0,9,1,2,10,1,1
26,14,2,0,9,1,2,10,1,1
26,14,2,0,9,1,2,10,1,1
26,14,4,0,9,1,2,10,1,1
26,15,2,0,9,1,2,9,2,1
26,25,14,0,9,1,2,10,0,2
27,16,42,0,8,2,2,8,3,1
27,16,10,0,8,2,2,8,3,1
27,28,4,0,8,2,2,7,3,2
27,28,2,0,8,2,2,7,3,2
28,27,2,0,7,3,2,8,2,2
28,27,2,0,7,3,2,8,2,2
0,-1,104,1,12,0,0,-1,-1,-1
2,-1,2,1,10,2,0,-1,-1,-1
2,-1,86,1,10,2,0,-1,-1,-1
2,-1,4,1,10,2,0,-1,-1,-1
2,-1,24,1,10,2,0,-1,-1,-1
14,-1,30,1,10,1,1,-1,-1,-1
15,-1,18,1,9,2,1,-1,-1,-1
16,-1,4,1,8,3,1,-1,-1,-1
27,-1,2,1,8,2,2,-1,-1,-1
27,-1,2,1,8,2,2,-1,-1,-1
