State_Index,State_SGF,Solo,Grupo,Fermo,N_Transitions,N_Events,Event_Rate,Mean_Duration,Empirical_Hazard_Rate
59,"(3, 4, 5)",3,4,5,1032,1032,1.0,8.319767441860465,0.12019566736547868
51,"(3, 5, 4)",3,5,4,897,897,1.0,7.511705685618729,0.13312555654496883
60,"(2, 5, 5)",2,5,5,838,836,0.9976133651551312,8.181384248210025,0.12193698949824971
66,"(3, 3, 6)",3,3,6,793,792,0.9987389659520807,8.44640605296343,0.11824425201552702
67,"(2, 4, 6)",2,4,6,764,764,1.0,8.55497382198953,0.11689106487148103
52,"(2, 6, 4)",2,6,4,718,716,0.9972144846796658,7.788300835654596,0.12804005722460657
50,"(4, 4, 4)",4,4,4,685,684,0.9985401459854014,7.039416058394161,0.14184985483201992
58,"(4, 3, 5)",4,3,5,644,644,1.0,7.357142857142857,0.13592233009708737
73,"(2, 3, 7)",2,3,7,596,596,1.0,8.953020134228188,0.11169415292353824
42,"(3, 6, 3)",3,6,3,560,560,1.0,7.307142857142857,0.13685239491691104
68,"(1, 5, 6)",1,5,6,540,539,0.9981481481481481,8.71111111111111,0.11458333333333333
61,"(1, 6, 5)",1,6,5,478,478,1.0,8.368200836820083,0.1195
41,"(4, 5, 3)",4,5,3,468,468,1.0,8.952991452991453,0.1116945107398568
72,"(3, 2, 7)",3,2,7,461,461,1.0,9.344902386117136,0.10701021355617456
74,"(1, 4, 7)",1,4,7,459,459,1.0,9.79520697167756,0.10209074733096085
65,"(4, 2, 6)",4,2,6,397,397,1.0,9.375314861460957,0.10666308436324556
40,"(5, 4, 3)",5,4,3,378,378,1.0,7.809523809523809,0.12804878048780488
78,"(2, 2, 8)",2,2,8,370,370,1.0,9.405405405405405,0.10632183908045977
49,"(5, 3, 4)",5,3,4,364,364,1.0,7.4010989010989015,0.13511507052709726
43,"(2, 7, 3)",2,7,3,358,358,1.0,6.212290502793296,0.16097122302158273
79,"(1, 3, 8)",1,3,8,327,326,0.9969418960244648,9.84709480122324,0.10124223602484472
57,"(5, 2, 5)",5,2,5,318,318,1.0,8.08805031446541,0.12363919129082426
53,"(1, 7, 4)",1,7,4,289,288,0.9965397923875432,8.373702422145328,0.11900826446280992
32,"(3, 7, 2)",3,7,2,254,254,1.0,7.5984251968503935,0.1316062176165803
31,"(4, 6, 2)",4,6,2,248,248,1.0,8.040322580645162,0.12437311935807423
30,"(5, 5, 2)",5,5,2,246,246,1.0,7.073170731707317,0.1413793103448276
39,"(6, 3, 3)",6,3,3,230,230,1.0,7.747826086956522,0.12906846240179573
69,"(0, 6, 6)",0,6,6,215,215,1.0,6.93953488372093,0.14410187667560323
