State_Index,State_SGF,Observations,Events,Event_Rate,Final_Cumulative_Hazard
59,"(3, 4, 5)",1032,1032,1.0,7.030943337708939
51,"(3, 5, 4)",897,897,1.0,6.874769097697766
60,"(2, 5, 5)",838,836,0.9976133651551312,6.853596666843053
66,"(3, 3, 6)",793,792,0.9987389659520807,6.793091371317724
67,"(2, 4, 6)",764,764,1.0,6.8028501695766845
52,"(2, 6, 4)",718,716,0.9972144846796658,6.679686666736852
50,"(4, 4, 4)",685,684,0.9985401459854014,6.585494939275235
58,"(4, 3, 5)",644,644,1.0,6.56201433703305
73,"(2, 3, 7)",596,596,1.0,6.422585004323984
42,"(3, 6, 3)",560,560,1.0,6.43492104465976
