from_solo,from_grupo,from_fermo,duration_count,duration_mean,duration_std,event_sum,event_mean,empirical_hazard_rate
3,4,5,1032,8.32,14.073,1032,1.0,0.1201923076923077
3,5,4,897,7.512,10.983,897,1.0,0.13312034078807244
2,5,5,838,8.181,16.184,836,0.998,0.12194271667951735
3,3,6,793,8.446,11.591,792,0.999,0.11824993676913104
2,4,6,764,8.555,11.298,764,1.0,0.1168907071887785
2,6,4,718,7.788,11.57,716,0.997,0.128045003168935
4,4,4,685,7.039,10.194,684,0.999,0.14185823923645424
4,3,5,644,7.357,9.607,644,1.0,0.13592496941688187
2,3,7,596,8.953,14.077,596,1.0,0.11169440411035408
3,6,3,560,7.307,13.857,560,1.0,0.1368550704803613
1,5,6,540,8.711,10.731,539,0.998,0.11458479487408427
1,6,5,478,8.368,14.654,478,1.0,0.11950286806883365
4,5,3,468,8.953,17.923,468,1.0,0.11169440411035407
3,2,7,461,9.345,12.455,461,1.0,0.10700909577314072
1,4,7,459,9.795,13.384,459,1.0,0.10209290454313426
4,2,6,397,9.375,13.314,397,1.0,0.10666666666666667
5,4,3,378,7.81,11.652,378,1.0,0.12804097311139565
2,2,8,370,9.405,13.881,370,1.0,0.1063264221158958
5,3,4,364,7.401,14.424,364,1.0,0.13511687609782463
2,7,3,358,6.212,8.573,358,1.0,0.16097875080489377
1,3,8,327,9.847,14.297,326,0.997,0.1012432107265629
5,2,5,318,8.088,10.737,318,1.0,0.12363996043521266
1,7,4,289,8.374,12.973,288,0.997,0.11900403539378351
3,7,2,254,7.598,12.938,254,1.0,0.13161358252171623
4,6,2,248,8.04,13.686,248,1.0,0.12437810945273632
5,5,2,246,7.073,10.599,246,1.0,0.14138272303124558
6,3,3,230,7.748,11.991,230,1.0,0.12906556530717606
0,6,6,215,6.94,10.747,215,1.0,0.14409221902017288
6,4,2,206,7.165,9.219,206,1.0,0.13956734124214934
3,1,8,185,9.557,17.515,185,1.0,0.10463534581981793
0,5,7,174,10.494,31.999,174,1.0,0.09529254812273681
6,2,4,163,8.27,10.672,163,1.0,0.12091898428053205
1,8,3,156,7.026,10.4,156,1.0,0.14232849416453172
2,8,2,156,7.372,9.606,155,0.994,0.13477885832742045
4,1,7,155,8.348,12.604,155,1.0,0.11978917105893627
1,2,9,150,9.747,12.295,150,1.0,0.10259567046270647
5,1,6,149,8.336,9.587,149,1.0,0.1199616122840691
7,2,3,145,7.697,9.564,145,1.0,0.12992074834351044
7,3,2,141,10.184,17.989,141,1.0,0.09819324430479183
0,7,5,141,12.468,20.758,141,1.0,0.08020532563362207
2,1,9,104,7.692,10.159,104,1.0,0.13000520020800832
4,7,1,101,8.099,11.817,101,1.0,0.12347203358439313
5,6,1,97,12.33,24.735,97,1.0,0.08110300081103002
3,8,1,94,11.447,19.065,94,1.0,0.08735913339739669
8,2,2,93,8.688,11.801,93,1.0,0.1151012891344383
6,1,5,91,10.857,18.567,91,1.0,0.0921064750851985
6,5,1,84,8.286,14.295,84,1.0,0.12068549360366884
0,8,4,81,10.395,20.898,81,1.0,0.0962000962000962
7,4,1,79,5.924,6.52,79,1.0,0.16880486158001348
0,4,8,78,10.077,12.212,78,1.0,0.09923588369554431
8,3,1,77,6.857,8.407,77,1.0,0.1458363715910748
7,1,4,70,12.914,18.531,70,1.0,0.07743534148985597
1,9,2,61,6.164,6.081,61,1.0,0.16223231667748217
9,2,1,58,11.172,18.103,58,1.0,0.08950948800572861
2,9,1,55,10.073,15.743,55,1.0,0.09927529038022437
8,1,3,46,7.435,8.811,46,1.0,0.13449899125756556
1,1,10,46,7.522,8.024,46,1.0,0.1329433661260303
11,1,0,45,16.933,27.481,45,1.0,0.05905628063544558
0,3,9,45,8.667,12.898,45,1.0,0.11538017768547364
9,3,0,40,9.7,18.131,40,1.0,0.10309278350515463
10,2,0,37,12.811,19.111,37,1.0,0.0780579189758801
10,1,1,37,11.514,14.441,37,1.0,0.08685079034219212
0,9,3,33,4.242,3.7,33,1.0,0.23573785950023576
6,0,6,32,10.938,11.517,32,1.0,0.09142439202779301
12,0,0,29,9.034,22.045,29,1.0,0.11069293779056895
9,1,2,29,10.828,10.33,29,1.0,0.09235315847801995
3,0,9,29,10.483,15.001,29,1.0,0.09539254030334827
5,7,0,26,7.692,8.269,26,1.0,0.13000520020800832
8,4,0,25,8.72,14.662,25,1.0,0.11467889908256879
4,0,8,25,9.2,11.916,25,1.0,0.10869565217391305
6,6,0,25,6.48,7.264,25,1.0,0.15432098765432098
7,5,0,23,5.391,9.428,23,1.0,0.1854943424225561
0,2,10,23,13.304,18.137,23,1.0,0.07516536380036079
5,0,7,22,11.182,23.79,22,1.0,0.08942944017170452
3,9,0,20,11.6,35.247,20,1.0,0.08620689655172414
4,8,0,18,10.556,23.14,18,1.0,0.09473285335354302
2,0,10,16,11.75,16.953,16,1.0,0.0851063829787234
7,0,5,14,7.714,10.462,14,1.0,0.12963443090484833
11,0,1,13,14.462,22.922,13,1.0,0.06914672935970129
1,10,1,13,3.077,3.328,13,1.0,0.32499187520311995
2,10,0,12,20.833,36.685,12,1.0,0.0480007680122882
1,0,11,10,9.0,8.907,10,1.0,0.1111111111111111
0,10,2,8,2.25,0.707,8,1.0,0.4444444444444444
